,Date,Name,Year,Letterboxd URI
136,2020-04-24,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/pzj2
194,2020-05-06,Extraction,2020,https://boxd.it/jUjA
195,2020-05-06,Sergio,2020,https://boxd.it/oiQ2
202,2020-06-30,A Whisker Away,2020,https://boxd.it/oQEa
209,2020-12-15,Freaky,2020,https://boxd.it/ka42
211,2020-12-15,Mulan,2020,https://boxd.it/bbK6
214,2020-12-15,Just Another Christmas,2020,https://boxd.it/slKa
216,2020-12-21,Kalashnikov AK-47,2020,https://boxd.it/lO9I
219,2020-12-28,Wonder Woman 1984,2020,https://boxd.it/gBtA
220,2020-12-30,Minari,2020,https://boxd.it/mL9M
221,2020-12-30,Soul,2020,https://boxd.it/ioLA
222,2020-12-31,Nomadland,2020,https://boxd.it/lnRy
223,2021-01-01,The Croods: A New Age,2020,https://boxd.it/jeHK
224,2021-01-02,Death to 2020,2020,https://boxd.it/t4EQ
225,2021-01-03,Another Round,2020,https://boxd.it/lkba
226,2021-01-04,Promising Young Woman,2020,https://boxd.it/loRE
227,2021-01-04,"My People, My Homeland",2020,https://boxd.it/rzdW
229,2021-01-08,Bath Buddy,2020,https://boxd.it/svyy
233,2021-02-14,To All the Boys: Always and Forever,2021,https://boxd.it/mI1A
234,2021-02-14,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny
237,2021-02-25,Palm Springs,2020,https://boxd.it/lCXQ
238,2021-03-01,I Care a Lot,2020,https://boxd.it/mcHk
243,2021-03-22,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0
260,2021-04-03,The Father,2020,https://boxd.it/m8Ie
262,2021-04-17,The White Tiger,2021,https://boxd.it/nhg6
265,2021-04-20,Two Distant Strangers,2020,https://boxd.it/tBu0
266,2021-04-22,"Quo Vadis, Aida?",2020,https://boxd.it/riws
267,2021-04-24,Love and Monsters,2020,https://boxd.it/lJ6E
268,2021-04-26,Stowaway,2021,https://boxd.it/ktMM
271,2021-05-08,"Hi, Mom",2021,https://boxd.it/svxU
272,2021-05-21,The Woman in the Window,2021,https://boxd.it/iT56
278,2021-06-23,Emma.,2020,https://boxd.it/kmg0
279,2021-06-27,A Quiet Place Part II,2020,https://boxd.it/iTx0
280,2021-06-28,The Man Who Sold His Skin,2020,https://boxd.it/oV9c
282,2021-08-22,Out of My League,2020,https://boxd.it/oIK0
283,2021-08-22,The Kissing Booth 3,2021,https://boxd.it/rhOA
284,2021-09-08,He's All That,2021,https://boxd.it/bFbA
285,2021-09-08,Ṇo Toque Em Meu Companheiro,2020,https://boxd.it/pcci
286,2021-09-08,You Should Have Left,2020,https://boxd.it/iDBA
287,2021-09-08,Fear Street: 1994,2021,https://boxd.it/lLBk
288,2021-09-08,Fear Street: 1978,2021,https://boxd.it/lLBu
289,2021-09-21,Old,2021,https://boxd.it/npKI
290,2021-10-04,Cry Macho,2021,https://boxd.it/s9z0
291,2021-10-06,Squid Game,2021,https://boxd.it/x1OG
292,2021-11-27,7 Prisoners,2021,https://boxd.it/txOU
293,2021-12-29,Don't Look Up,2021,https://boxd.it/o0Hc
294,2021-12-29,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
295,2022-01-16,The Worst Person in the World,2021,https://boxd.it/oyws
296,2022-01-17,The Power of the Dog,2021,https://boxd.it/m99E
298,2022-03-03,The Hand of God,2021,https://boxd.it/r5uI
299,2022-04-04,The Weekend Away,2022,https://boxd.it/vHXw
301,2022-04-18,Don't Breathe 2,2021,https://boxd.it/hla0
302,2022-04-18,Choose or Die,2022,https://boxd.it/vDag
303,2022-04-19,Forever Out of My League,2021,https://boxd.it/tJPA
307,2022-05-03,The Forgotten Battle,2020,https://boxd.it/nuG2
308,2022-05-11,Executive Order,2020,https://boxd.it/mHQC
309,2022-05-20,Business Proposal,2022,https://boxd.it/AcA2
310,2022-05-30,Senior Year,2022,https://boxd.it/u8C2
311,2022-05-30,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
312,2022-06-15,Jurassic World Dominion,2022,https://boxd.it/ikXW
313,2022-06-15,Hustle,2022,https://boxd.it/qpig
314,2022-06-15,Metal Lords,2022,https://boxd.it/rLTA
316,2022-06-21,Love and Leashes,2022,https://boxd.it/szB2
318,2022-07-12,Crimes of the Future,2022,https://boxd.it/uTuY
319,2022-07-19,The Black Phone,2021,https://boxd.it/sqFE
320,2022-07-24,Persuasion,2022,https://boxd.it/uVFY
321,2022-07-25,The Gray Man,2022,https://boxd.it/rb7q
322,2022-08-08,Thirteen Lives,2022,https://boxd.it/q7O4
323,2022-08-15,Prey,2022,https://boxd.it/sNBU
324,2022-08-16,Drive My Car,2021,https://boxd.it/sv94
325,2022-08-25,Look Both Ways,2022,https://boxd.it/ujzI
326,2022-08-29,Nope,2022,https://boxd.it/sDCe
327,2022-08-29,Candyman,2021,https://boxd.it/kHFg
328,2022-09-10,Top Gun: Maverick,2022,https://boxd.it/cjr4
329,2022-09-10,I Came By,2022,https://boxd.it/wbVg
330,2022-09-19,Do Revenge,2022,https://boxd.it/sFiA
331,2022-11-12,The Good Nurse,2022,https://boxd.it/jIXI
332,2022-11-12,Falling for Christmas,2022,https://boxd.it/vpEG
333,2022-11-20,Don't Worry Darling,2022,https://boxd.it/mViu
335,2022-12-12,Disenchanted,2022,https://boxd.it/bg9E
336,2023-01-10,Glass Onion,2022,https://boxd.it/oCkK
337,2023-01-15,White Noise,2022,https://boxd.it/rXgK
338,2023-01-15,Good on Paper,2021,https://boxd.it/v1PU
340,2023-01-22,The Menu,2022,https://boxd.it/lScm
341,2023-01-26,All Quiet on the Western Front,2022,https://boxd.it/H08
342,2023-01-26,The Guilty,2021,https://boxd.it/kOPW
343,2023-02-03,Mars One,2022,https://boxd.it/yoPa
344,2023-02-05,Pearl,2022,https://boxd.it/zPbe
346,2023-02-20,X,2022,https://boxd.it/sxVa
347,2023-02-24,The Whale,2022,https://boxd.it/tw4c
348,2023-02-26,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y
349,2023-03-05,Triangle of Sadness,2022,https://boxd.it/hXlq
350,2023-03-08,The Flying Sailor,2022,https://boxd.it/rSdw
351,2023-03-08,An Ostrich Told Me the World Is Fake and I Think I Believe It,2022,https://boxd.it/zBoo
352,2023-03-09,My Year of Dicks,2022,https://boxd.it/AF9k
353,2023-03-09,Ice Merchants,2022,https://boxd.it/Arx8
358,2023-05-07,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI
359,2023-06-24,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi
360,2023-06-24,Black Mirror: Beyond the Sea,2023,https://boxd.it/H7QI
361,2023-06-24,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg
362,2023-06-24,Black Mirror: Demon 79,2023,https://boxd.it/H7Rc
363,2023-06-24,Black Mirror: Mazey Day,2023,https://boxd.it/H7QS
364,2023-07-26,Oppenheimer,2023,https://boxd.it/wUow
365,2023-07-27,Barbie,2023,https://boxd.it/bCLK
366,2023-07-30,Arnold,2023,https://boxd.it/Gylq
368,2023-08-14,I'm Your Man,2021,https://boxd.it/tWcG
369,2023-08-14,Licorice Pizza,2021,https://boxd.it/qTKY
370,2023-08-20,Shiva Baby,2020,https://boxd.it/oIv0
371,2023-08-28,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/BMeI
375,2023-09-06,Scream,2022,https://boxd.it/o0lg
376,2023-09-12,Aftersun,2022,https://boxd.it/Arw0
